,States,x,y
0,uttar pradesh,-31.0,110.0
1,jammu & kashmir,-106.0,276.0
2,himachal pradesh,-88.0,215.0
3,panjab,-125.0,188.0
4,uttranchal,-43.0,178.0
5,haryana,-108.0,154.0
6,rajassthan,-152.0,94.0
7,gujrat,-207.0,19.0
8,maharastra,-126.0,-57.0
9,goa,-156.0,-144.0
10,karnataka,-120.0,-159.0
11,kerala,-104.0,-255.0
12,tamil nadu,-49.0,-220.0
13,andhra pradesh,-45.0,-121.0
14,orisa,66.0,-41.0
15,chhattisgadh,7.0,-20.0
16,madhya pradesh,-80.0,15.0
17,jharkhand,64.0,35.0
18,bihar,80.0,74.0
19,west bangal,123.0,26.0
20,sikkim,129.0,120.0
21,assam,221.0,103.0
22,arunachal pradesh,244.0,150.0
23,nagaland,249.0,103.0
24,manipur,243.0,73.0
25,mizoram,222.0,38.0
26,tripura,198.0,43.0
